"Totals USD","-","2023-01-24","-","25844.00","26714.00","52558.00","52558.00","0.00","0.00","52558.00","445","2","257","192","747","33","56","1,732","475","2","265","186","785","39","54","1,806","0.00","0.00","0.00"
"Site ID","Safe Serial Number","Business Date","Time of EOD","Cassette 1 Cash","Cassette 2 Cash","Cassette Cash Total","Validated Deposit Total","Change Order Funds Total","Envelope Total","Total","Cassette 1 '$1' Count","Cassette 1 '$2' Count","Cassette 1 '$5' Count","Cassette 1 '$10' Count","Cassette 1 '$20' Count","Cassette 1 '$50' Count","Cassette 1 '$100' Count","Cassette 1 Total Count","Cassette 2 '$1' Count","Cassette 2 '$2' Count","Cassette 2 '$5' Count","Cassette 2 '$10' Count","Cassette 2 '$20' Count","Cassette 2 '$50' Count","Cassette 2 '$100' Count","Cassette 2 Total Count","Env Cash","Env Check","Env Other","Currency"
"FF Carl Jr. 7378","SU2016050070","2023-01-24","00:16:42","672.00","1131.00","1803.00","1803.00","0.00","0.00","1803.00","2","0","4","6","27","1","0","40","6","0","3","4","26","1","5","45","0.00","0.00","0.00","USD"
"FF Carl Jr. 7361","SU2017002001","2023-01-24","00:16:18","790.00","650.00","1440.00","1440.00","0.00","0.00","1440.00","5","0","3","3","32","0","1","44","5","0","5","2","30","0","0","42","0.00","0.00","0.00","USD"
"FF Carl Jr. 7352","SU2017002002","2023-01-24","00:15:05","0.00","1231.00","1231.00","1231.00","0.00","0.00","1231.00","0","0","0","0","0","0","0","0","11","0","10","8","27","5","3","64","0.00","0.00","0.00","USD"
"FF Carl Jr. 7403","SU2017002004","2023-01-24","00:17:00","721.00","956.00","1677.00","1677.00","0.00","0.00","1677.00","11","0","6","4","27","0","1","49","11","0","5","2","25","2","3","48","0.00","0.00","0.00","USD"
"FF Carl Jr. 7491","SU2017002005","2023-01-24","00:15:25","348.00","324.00","672.00","672.00","0.00","0.00","672.00","3","0","3","3","15","0","0","24","4","0","2","1","15","0","0","22","0.00","0.00","0.00","USD"
"FF Carl Jr. 7394","SU2017002008","2023-01-24","00:15:05","449.00","508.00","957.00","957.00","0.00","0.00","957.00","14","0","3","6","13","2","0","38","13","0","3","6","11","0","2","35","0.00","0.00","0.00","USD"
"FF Carl Jr. 7359","SU2017002009","2023-01-24","00:16:59","445.00","338.00","783.00","783.00","0.00","0.00","783.00","5","0","6","4","11","1","1","28","3","0","7","3","11","1","0","25","0.00","0.00","0.00","USD"
"FF Carl Jr. 7492","SU2017002011","2023-01-24","00:16:08","351.00","316.00","667.00","667.00","0.00","0.00","667.00","6","0","7","5","13","0","0","31","6","0","6","1","11","1","0","25","0.00","0.00","0.00","USD"
"FF Carl Jr. 7625","SU2017002012","2023-01-24","00:15:53","787.00","548.00","1335.00","1335.00","0.00","0.00","1335.00","57","0","2","4","14","0","4","81","58","0","0","6","14","1","1","80","0.00","0.00","0.00","USD"
"FF Carl Jr. 7355","SU2017002013","2023-01-24","00:16:36","394.00","601.00","995.00","995.00","0.00","0.00","995.00","4","0","8","3","11","0","1","27","6","0","7","0","23","0","1","37","0.00","0.00","0.00","USD"
